high-tech	boyfriend	Sexting
sexy	boyfriend	Mansteak
kinky	boyfriend	bootie call
confused	boyfriend	sex wearing a football helmet
spiritual	boyfriend	"technical" virginity
sexy	girlfriend	"Fuck Me" boots.
improvised	girlfriend	dating your cousin
mature	girlfriend	sugar mama
spiritual	girlfriend	waiting till marriage
random	girlfriend	a tease
high-tech	sextoy	a sexdroid
kinky	sextoy	Body Chocolate
improvised	sextoy	a lego sexdoll
casual	sextoy	a banana dildo
random	sextoy	a duck with a giant cock
sexy	date	dry humping
improvised	date	a hot tub three-way
spiritual	date	eHarmony
kinky	date	dinner and a gangbang
random	date	Chat Roulette
high-tech	sex	a four hour erection
sexy	sex	emotionally fulfilling sex
casual	sex	a quickie
confused	sex	accidental buttsex
mature	sex	couple's porn
confused	fetish	unerotic asphyxiation
casual	fetish	a shoe fetish
mature	fetish	Grinding Grandmas 8
random	fetish	Nasophilia
improvised	fetish	a fertility charm
high-tech	relationship	a text message breakup
casual	relationship	a manwhore
confused	relationship	friendzone
mature	relationship	sex to make babies
spiritual	relationship	the "Virgin" Mary
high-tech	stroking	the Fleshlight
confused	stroking	heavy petting
spiritual	stroking	mastur-hating
improvised	stroking	groping
kinky	stroking	tickling
sexy	stranger	sex with a B-List celebrity
mature	stranger	e-stalker
casual	stranger	a one night stand
random	stranger	facebook stalking
kinky	stranger	a porno plumber
improvised	Sexting	Anthony Weiner
spiritual	Mansteak	Ryan Gosling's sweet sweet baritone
spiritual	bootie call	hookin' for Jesus
kinky	sex wearing a football helmet	Pegging
high-tech	"technical" virginity	skype sex
spiritual	"Fuck Me" boots.	a kinky nun
sexy	dating your cousin	statutory incest
high-tech	sugar mama	a sillicon valley cougar
mature	waiting till marriage	a promise ring
spiritual	a tease	a Biblical sext
kinky	a sexdroid	a Terminator Porn Parody
improvised	Body Chocolate	a fast food fetish
high-tech	a lego sexdoll	SkyNet with sexdolls
mature	a banana dildo	a soft vegetable dildo
confused	a duck with a giant cock	an animal in heat
kinky	dry humping	Prom Night
improvised	a hot tub three-way	Hot Tub Pimp Machine
random	eHarmony	a prearranged marriage
casual	dinner and a gangbang	Polyamory
mature	Chat Roulette	To Catch a Predator
confused	a four hour erection	recreational viagra
random	emotionally fulfilling sex	dirty babytalk
improvised	a quickie	this one time at bandcamp
mature	accidental buttsex	a try-sexual
sexy	couple's porn	a swinger's convention
kinky	unerotic asphyxiation	pulling a "David Carradine"
sexy	a shoe fetish	sex with your shoes on
sexy	Grinding Grandmas 8	Grinding Grandma's 9: Centenarian Edition
high-tech	Nasophilia	Rule 34
spiritual	a fertility charm	a voodoo fertility charm
mature	a text message breakup	cumshot ettiquette
high-tech	a manwhore	a dating app
confused	friendzone	"It's Complicated"
kinky	sex to make babies	the way God intended
random	the "Virgin" Mary	a young Hewbrews mixer in Bethlehem
casual	the Fleshlight	spicing up my marriage
confused	heavy petting	sexual harrasment training
random	mastur-hating	Leviticus 18:8, "Don't see your stepmom naked"
improvised	groping	Chester the Molester
sexy	tickling	adorable foreplay
casual	sex with a B-List celebrity	a night in West Hollywood
confused	e-stalker	an AOL chatroom
improvised	a one night stand	friends with benefits
casual	facebook stalking	the "Bang with Friends" app
random	a porno plumber	a pornography cliche
desperate	pornography	True Blood
defective	pornography	a Jewish Bachelor swimsuit calendar
misunderstood	pornography	a Renaissance nude
improvised	pornography	HBO
sexy	pornography	a Victoria's Secret coloring book
random	pornography	primetime nipslip
desperate	dick	a dry spell
misunderstood	dick	morning wood
filthy	dick	blue balls
sexy	dick	Mr. Phallus
random	dick	a bunch of cocks
mature	dick	viagra roidrage
defective	cooter	Vaginoplasty
wet	cooter	a baby turtle
filthy	cooter	menstrual witchcraft
high-tech	cooter	butterfly fuck-swing
confused	cooter	g-spot safari
kinky	cooter	erotic shoulder rub
defective	STD	a taco-flavored condom
wet	STD	"The Spanish Sailor's Disease"
filthy	STD	a human centipede
confused	STD	Googling an STD
mature	STD	a senior home HPV breakout
casual	STD	Life
desperate	hooker	The Jersey Whore, a new show from TLC
wet	hooker	Whores Illustrated Swimsuit Edition
misunderstood	hooker	The 7-year itch
high-tech	hooker	Craigslist Casual Encounters
improvised	hooker	paying for it
spiritual	hooker	Harlotry in the Old Testament
defective	boyfriend	the company of men
defective	sextoy	a visit to the ER
defective	date	teaching a robot to love
wet	fetish	inappropriate use of the SlipAndSlide
wet	sex	fucking in the shower
wet	stranger	a sexy lifeguard
desperate	girlfriend	putting a ring on it
desperate	sex	raging hormones
desperate	relationship	a Green Card marriage
misunderstood	boyfriend	an emo boyfriend
misunderstood	date	misinterpreted breakup hints
misunderstood	fetish	Necrozoophilia
filthy	girlfriend	nipple piercing
filthy	sextoy	a real toy as a sextoy
filthy	stroking	watching porn at Starbucks
emotionally satisfying	True Blood	vampire dong
desperate	a Jewish Bachelor swimsuit calendar	jdate.com
emotionally satisfying	a Renaissance nude	"Shakespeare in Heat"
homoerotic	HBO	a "gay = vampire" metaphor
filthy	a Victoria's Secret coloring book	a hidden erection in the Little Mermaid
wet	primetime nipslip	a fuckfest afterparty at the Olympic village
wet	a dry spell	a slumpbuster
emotionally satisfying	morning wood	pillow talk
emotionally satisfying	blue balls	a “No One’s Pleasure” condom
filthy	Mr. Phallus	DJ Filthy Phallus
wet	a bunch of cocks	live-action tentacle porn
Japanese	viagra roidrage	groping on the subway
misunderstood	Vaginoplasty	"Teeth", the vagina horror movie
homoerotic	a baby turtle	a gay penguin
defective	menstrual witchcraft	Rosemary's Baby
Japanese	butterfly fuck-swing	a dirty panties vending machine
Japanese	g-spot safari	Thai sex tourism
Japanese	erotic shoulder rub	a happy ending
defective	a taco-flavored condom	butt-flavored condom
misunderstood	"The Spanish Sailor's Disease"	a hetereo salior
filthy	a human centipede	The Human Centipede animated remake
misunderstood	Googling an STD	a vagina panic
misunderstood	a senior home HPV breakout	the unforeseen consequences of a Viagra commercial
emotionally satisfying	Life	Murder Suicide Orgasm
misunderstood	The Jersey Whore, a new show from TLC	Snookie
Japanese	Whores Illustrated Swimsuit Edition	a Japanese Gameshow
emotionally satisfying	The 7-year itch	HPVsingles.com
desperate	Craigslist Casual Encounters	finding love on the internet
desperate	paying for it	the 40 year old virgin
homoerotic	Harlotry in the Old Testament	praying the gay away
desperate	the company of men	a sausagefest
homoerotic	a visit to the ER	Dr. McDreamy
Japanese	teaching a robot to love	a Japanese sexdroid
filthy	inappropriate use of the SlipAndSlide	Hamstering
homoerotic	fucking in the shower	crossing swords
wet	a sexy lifeguard	David Hasselhof
homoerotic	putting a ring on it	the unfortunately gay Mr. Right
misunderstood	raging hormones	Catcher in the Rye
defective	a Green Card marriage	a TSA balls inspection
wet	an emo boyfriend	crying after sex
filthy	misinterpreted breakup hints	a breakup sext
wet	Necrozoophilia	marrying a dolphin
defective	nipple piercing	#kinkyinthewrongway
defective	a real toy as a sextoy	a chinese sextoy recalled for lead paint
desperate	watching porn at Starbucks	disaster porn
Japanese	orgasm	pixelated genitalia
homoerotic	orgasm	the double rainbow
defective	orgasm	Hysteria Nervosa
wet	orgasm	a queef
Japanese	romcom	violently sexual anime
emotionally satisfying	romcom	The Notebook
desperate	romcom	"Valentine's Day" meets "Fast and the Furious"
filthy	romcom	the old dick-in-the-popcorn trick
homoerotic	George Clooney	George Timothy Clooney
emotionally satisfying	George Clooney	Matt Damon
misunderstood	George Clooney	Ryan Gosling
filthy	George Clooney	Johnny Depp
desperate	pixelated genitalia	using your imagination
wet	the double rainbow	Singing in the Rain
filthy	Hysteria Nervosa	a suggestive rorschach test
misunderstood	a queef	a high-maintenance clitoris
emotionally satisfying	violently sexual anime	Miyasaki's "Howl's Boning Castle"
homoerotic	The Notebook	The Moleskine
emotionally satisfying	"Valentine's Day" meets "Fast and the Furious"	a date with Hugh Grant
Japanese	the old dick-in-the-popcorn trick	dinner and a movie in Japan
homoerotic	George Timothy Clooney	George Clooney is gay
filthy	Matt Damon	saying "Matt Damon" during sex
misunderstood	Ryan Gosling	a sexy meme
desperate	Johnny Depp	Zombies 2: Revenge of the Vampires
