Status	Deck	Category	Type	Text	Length
Draft	Alex	Sexual	Answer	Child pornography.	18
Draft	Alex	Sexual	Answer	Consensual Beastiality.	23
Draft	Alex	Sexual	Answer	A fallatio filibuster.	22
Draft	Alex	Sexual	Answer	A bunch of dicks.	17
Draft	Alex	Sexual	Answer	Polyamory.	10
Draft	Alex	Sexual	Answer	Men marrying dogs	17
Draft	Alex	Sexual	Answer	Dog Marriage.	13
Draft	Alex	Sexual	Answer	Taco flavored condoms.	22
Draft	Alex	Sexual	Answer	Cooter.	7
Draft	Alex	Sexual	Answer	Masturbating in the shower.	27
Draft	Alex	Sexual	Answer	A hidden porn folder.	21
Draft	Alex	Sexual	Answer	A public porn folder.	21
Draft	Alex	Sexual	Answer	Gonorrhea.	10
Draft	Alex	Sexual	Answer	STD-free Colombian hookers.	27
Draft	Alex	Sexual	Answer	The 7 year itch.	16
Draft	Alex	Sexual	Answer	“The Turkish Disease”.	22
Draft	Alex	Sexual	Answer	Cooties.	8
Draft	Alex	Sexual	Answer	Gentleman’s companions. 	24
Draft	Alex	Sexual	Answer	Pants Rabbits.	14
Draft	Alex	Sexual	Answer	Seam Squirrels.	15
Draft	Alex	Sexual	Answer	“The Aztec two-step.”	21
Draft	Alex	Sexual	Answer	Just the tip.	13
Draft	Alex	Sexual	Answer	Penis.	6
Draft	Alex	Sexual	Answer	More anal, please.	18
Draft	Alex	Sexual	Answer	Coconut bras.	13
Draft	Alex	Sexual	Answer	Big beautiful women.	20
Draft	Alex	Sexual	Answer	Pornography addiction.	22
Draft	Alex	Sexual	Answer	Paying for pornography.	23
Draft	Alex	Sexual	Answer	A human centipede.	18
Draft	Alex	Sexual	Answer	Manwhores.	10
Draft	Alex	Sexual	Answer	Mansteak.	9
Draft	Alex	Sexual	Answer	Casual pornography.	19
Draft	Alex	Sexual	Answer	A 4 hour erection.	18
Draft	Alex	Sexual	Answer	Professional teabagger.	23
Draft	Alex	Sexual	Answer	Legitimate rape.	16
Draft	Alex	Sexual	Answer	A disguised pedophile.	22
Draft	Alex	Sexual	Answer	Fisting.	8
Draft	Alex	Sexual	Answer	Emotionally fulfilling sex.	27
Draft	Alex	Sexual	Answer	Children watching pornography.	30
Draft	Alex	Sexual	Answer	Dry Humping.	12
Draft	Alex	Sexual	Answer	Butterfly fuck swing.	21
Draft	Alex	Sexual	Answer	Fleshlight.	11
Draft	Alex	Sexual	Answer	A Japanese sexdroid.	20
Draft	Alex	Sexual	Answer	A naughty baker.	16
Draft	Alex	Sexual	Answer	Male-pleasure laboratory.	25
Draft	Alex	Sexual	Answer	Sexting.	8
Draft	Alex	Sexual	Answer	Sex with a B-List celebrity.	28
Draft	Alex	Sexual	Answer	“No One’s Pleasure” condoms.	28
Draft	Alex	Sexual	Answer	Heavy petting.	14
Draft	Alex	Sexual	Answer	A sex addiction sponsor.	24
Draft	Alex	Sexual	Answer	Pre-mature ejaculation.	23
Draft	Alex	Sexual	Answer	Unerotic asphyxiation.	22
Draft	Alex	Sexual	Answer	Mom’s sexual proclivities.	26
Draft	Alex	Sexual	Answer	A five-hour fuckfest.	21
Draft	Alex	Sexual	Answer	Sex-deprived professional athletes.	35
Draft	Alex	Sexual	Answer	Heterosexual sailors.	21
Draft	Alex	Sexual	Answer	Testicular Torsion.	19
Draft	Alex	Sexual	Answer	Nut butter.	11
Draft	Alex	Sexual	Answer	A duck with a giant cock.	25
Draft	Alex	Sexual	Answer	Anal spelunking.	16
Draft	Alex	Sexual	Answer	Dirty panty vending machines.	29
Draft	Alex	Sexual	Answer	Emotionally charged staring.	28
Draft	Alex	Sexual	Answer	Sexually transmitted manic depression.	38
Draft	Alex	Sexual	Answer	“Do Me” Shoes.	14
Draft	Alex	Sexual	Answer	“Fuck Me” Boots.	16
Draft	Alex	Sexual	Answer	“Rape Me” Jeans.	16
Draft	Alex	Sexual	Answer	Clitoris rocket science.	24
Draft	Alex	Sexual	Answer	Vestigial nipples.	18
Draft	Alex	Sexual	Answer	A mood cock ring.	17
Draft	Alex	Hipster	Answer	A George Forman Grill.	22
Draft	Alex	Hipster	Answer	Irony.	6
Draft	Alex	Hipster	Answer	A trucker hat.	14
Draft	Alex	Hipster	Answer	Fauxhemian.	11
Draft	Alex	Hipster	Answer	A fedora.	9
Draft	Alex	Hipster	Answer	A White Negro.	14
Draft	Alex	Hipster	Answer	Slouching.	10
Draft	Alex	Hipster	Answer	Hipsterdom.	11
Draft	Alex	Hipster	Answer	Lesbian Avengers.	17
Draft	Alex	Hipster	Answer	Freegans.	9
Draft	Alex	Hipster	Answer	Waifs.	6
Draft	Alex	Hollywood	Answer	Internal monologue.	19
Draft	Alex	Hollywood	Answer	Singing animals.	16
Draft	Alex	Politics	Answer	A Hitler mustache. 	19
Draft	Alex	Politics	Answer	White slavery.	14
Draft	Alex	Hollywood	Answer	Elmo’s puppeteer.	17
Draft	Alex	Hollywood	Answer	Muff eating zombies.	20
Draft	Alex	Hollywood	Answer	Gay vampires.	13
